class,chinese,precision,recall,f1,support
AH,空洞,0.990029542097489,0.9922279792746114,0.9911275415896488,5404
CT,碳痕,0.9932549624205049,0.9896313364055299,0.9914398384149273,5208
HT,接頭異常,1.0,0.9996986136226642,0.9998492840994725,3318
TD,不規則邊緣,0.998019801980198,1.0,0.9990089197224975,4032
CD,典型電暈放電,1.0,0.9997354497354497,0.9998677073686996,3780
ID,典型內部放電,0.9989429175475687,1.0,0.9994711792702274,1890
SD,典型表面放電,0.9994706193753309,0.9989417989417989,0.999206139190262,1890
macro_avg,宏觀平均,0.997102549060156,0.9971764539971506,0.9971386585222479,25522
weighted_avg,加權平均,0.9960821611217482,0.9960818117702375,0.99608086623002,25522
accuracy,準確率,,,0.9960818117702375,25522
