class,chinese,precision,recall,f1,support
AH,空洞,0.9897153351698806,0.9972242783123613,0.9934556180293115,5404
CT,碳痕,0.9967111627007158,0.989247311827957,0.9929652115254891,5208
HT,接頭異常,1.0,0.9996986136226642,0.9998492840994725,3318
TD,不規則邊緣,1.0,0.9997519841269841,0.9998759766836165,4032
CD,典型電暈放電,1.0,0.9997354497354497,0.9998677073686996,3780
ID,典型內部放電,1.0,1.0,1.0,1890
SD,典型表面放電,0.9994711792702274,1.0,0.999735519703782,1890
macro_avg,宏觀平均,0.9979853824486892,0.9979510910893452,0.9979641882014817,25522
weighted_avg,加權平均,0.9971120576531656,0.9971005407099757,0.9971004196449874,25522
accuracy,準確率,,,0.9971005407099757,25522
