class,chinese,precision,recall,f1,support
AH,空洞,0.9931683899556869,0.9953737971872687,0.9942698706099815,5404
CT,碳痕,0.9949980761831474,0.9930875576036866,0.9940418989044781,5208
HT,接頭異常,1.0,1.0,1.0,3318
TD,不規則邊緣,1.0,1.0,1.0,4032
CD,典型電暈放電,1.0,0.9994708994708995,0.9997353797300873,3780
ID,典型內部放電,1.0,1.0,1.0,1890
SD,典型表面放電,1.0,1.0,1.0,1890
macro_avg,宏觀平均,0.9983094951626905,0.9982760363231221,0.9982924498920782,25522
weighted_avg,加權平均,0.997532793671435,0.9975315414152496,0.9975317109023819,25522
accuracy,準確率,,,0.9975315414152496,25522
