class,chinese,precision,recall,f1,support
AH,空洞,0.9893244984354869,0.9946336047372317,0.9919719479560763,5404
CT,碳痕,0.9949768160741885,0.988863287250384,0.9919106317411402,5208
HT,接頭異常,1.0,1.0,1.0,3318
TD,不規則邊緣,0.9992565055762082,1.0,0.9996281145407214,4032
CD,典型電暈放電,1.0,1.0,1.0,3780
ID,典型內部放電,0.9984152139461173,1.0,0.9992069785884219,1890
SD,典型表面放電,1.0,0.9984126984126984,0.9992057188244639,1890
macro_avg,宏觀平均,0.9974247191474287,0.9974156557714735,0.9974176273786891,25522
weighted_avg,加權平均,0.996479736403933,0.9964736305932137,0.9964731421048914,25522
accuracy,準確率,,,0.9964736305932137,25522
